#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,HOF
17,Kemba Walker,716,33.6,19.7,6.8,16.3,41.9,2.3,6.3,36.1,3.8,4.6,84,0.6,3.3,3.8,5.3,1.3,0.4,2.1,48.8,54,0
18,Klay Thompson,615,33.1,19.5,7.3,16,45.9,2.9,7,41.9,1.9,2.3,84.8,0.4,3,3.5,2.3,0.9,0.5,1.7,55.1,57.5,0
19,Andrew Wiggins,537,35.3,19.5,7.2,16.2,44.6,1.3,3.8,34.1,3.7,5.1,73.2,1.2,3.2,4.4,2.3,1,0.7,2,48.6,52.8,0
20,LaMarcus Aldridge,1041,34,19.3,7.8,15.9,49.2,0.2,0.7,32.3,3.5,4.3,81.1,2.6,5.6,8.2,2,0.7,1.1,1.5,49.8,54.3,0
21,Kawhi Leonard,576,31.3,19.2,6.9,14,49.3,1.5,3.9,38.4,3.9,4.5,85.8,1.2,5.2,6.4,2.9,1.8,0.6,1.6,54.7,60,0
22,Zach LaVine,423,31.5,19.2,6.9,15.1,45.9,2.1,5.4,38.4,3.3,4,82.7,0.5,3.4,3.9,3.8,0.9,0.3,2.7,52.8,57.1,0
23,John Wall,613,35.6,19.1,6.9,16,43.1,1,3.1,32.3,4.3,5.5,77.9,0.6,3.7,4.3,9.1,1.7,0.7,3.8,46.2,51.7,0
24,CJ McCollum,541,31.3,18.9,7.3,16,45.4,2.3,5.7,39.7,2.2,2.6,82.4,0.6,2.8,3.4,3.3,0.9,0.4,1.7,52.5,55.2,0
25,Nikola Jokic,464,29.9,18.6,7.2,13.4,53.5,1,2.8,34.7,3.3,4,83.3,2.6,7.3,9.9,6,1.2,0.7,2.6,57.2,61.5,0
26,Derrick Rose,659,31.8,18.3,7.2,15.7,45.7,0.8,2.6,31.5,3.2,3.8,82.9,0.8,2.5,3.3,5.4,0.8,0.3,2.5,48.3,52.8,0
27,Chris Paul,1101,34.6,18.3,6.4,13.6,47.2,1.4,3.6,37.1,4.1,4.6,87.2,0.6,3.9,4.5,9.4,2.1,0.1,2.4,52.2,58.3,0
28,Kevin Love,745,31.6,17.9,5.9,13.4,44.1,1.7,4.7,36.9,4.4,5.3,82.9,2.7,8.3,11,2.4,0.7,0.4,2,50.5,57,0
29,Victor Oladipo,454,33,17.5,6.4,14.7,43.8,1.6,4.6,34.7,3,3.8,79.1,0.6,4,4.6,4,1.6,0.5,2.6,49.2,53.4,0
30,Jimmy Butler,644,33.1,17.5,5.7,12.4,45.9,0.8,2.5,32.7,5.3,6.3,83.8,1.5,3.7,5.3,4,1.6,0.5,1.6,49.3,57.7,0
